service_id,date,exception_type
1_merged_878627,20131225,2
1_merged_878627,20130902,2
1_merged_878627,20131226,2
1_merged_878627,20131014,2
2_merged_878629,20131226,1
1_merged_878624,20130701,2
1_merged_878624,20130805,2
3_merged_878625,20130701,1
3_merged_878625,20130805,1
4,20131225,1
3_merged_878628,20130902,1
3_merged_878628,20131014,1
